round, result, cumulative, average,type
52,1,44,0.846153846,comp
53,1,45,0.849056604,comp
54,1,46,0.851851852,comp
55,1,47,0.854545455,comp
56,0,47,0.839285714,comp
57,1,48,0.842105263,comp
58,1,49,0.844827586,comp
59,1,50,0.847457627,comp
60,1,51,0.85,comp
61,1,52,0.852459016,comp
62,1,53,0.85483871,comp
63,1,54,0.857142857,comp
64,1,55,0.859375,comp
65,1,56,0.861538462,comp
66,1,57,0.863636364,comp
67,1,58,0.865671642,comp
68,1,59,0.867647059,comp
69,1,60,0.869565217,comp
70,0,60,0.857142857,comp
71,1,61,0.85915493,comp
72,1,62,0.861111111,comp
73,0,62,0.849315068,comp
74,1,63,0.851351351,comp
75,0,63,0.84,comp
76,0,63,0.828947368,comp
77,1,64,0.831168831,comp
78,0,64,0.820512821,comp
79,1,65,0.82278481,comp
80,1,66,0.825,comp
81,1,67,0.827160494,comp
82,1,68,0.829268293,comp
83,1,69,0.831325301,comp
84,1,70,0.833333333,comp
85,0,70,0.823529412,comp
86,1,71,0.825581395,comp
87,1,72,0.827586207,comp
88,1,73,0.829545455,comp
89,1,74,0.831460674,comp
90,1,75,0.833333333,comp
91,1,76,0.835164835,comp
92,0,76,0.826086957,comp
93,0,76,0.817204301,comp
94,0,76,0.808510638,comp
95,1,77,0.810526316,comp
96,1,78,0.8125,comp
97,1,79,0.81443299,comp
98,0,79,0.806122449,comp
99,1,80,0.808080808,comp
100,1,81,0.81,comp
